891 - ЮГОСЛАВИЯ	6
АВСТРИЯ	103
АРМЕНИЯ	8
БЕЛАРУСЬ	143
БЕЛЬГИЯ	82
БОЛГАРИЯ	81
БОСНИЯ И ГЕРЦЕГОВИНА	10
ВЕНГРИЯ	259
ВЬЕТНАМ	14
ГЕРМАНИЯ	750
ГРЕЦИЯ	17
ДАНИЯ	42
ЕГИПЕТ	3
ИЗРАИЛЬ	55
ИНДИЯ	470
ИРЛАНДИЯ	29
ИСЛАНДИЯ	3
ИСПАНИЯ	138
ИТАЛИЯ	234
КАЗАХСТАН	8
КАНАДА	7
КИТАЙ	29
КОРЕЯ, РЕСПУБЛИКА	5
КУБА	1
ЛАТВИЯ	32
ЛИТВА	2
МАЛЬТА	17
МЕКСИКА	3
МОЛДОВА, РЕСПУБЛИКА	10
НИДЕРЛАНДЫ	87
НОРВЕГИЯ	19
ПАКИСТАН	17
ПОЛЬША	167
ПОРТУГАЛИЯ	13
РЕСПУБЛИКА МАКЕДОНИЯ	25
РОССИЯ	4648
РУМЫНИЯ	93
СЕРБИЯ	51
СИНГАПУР	1
СЛОВАКИЯ	54
СЛОВЕНИЯ	257
СОЕДИНЕННОЕ КОРОЛЕВСТВО	165
СОЕДИНЕННЫЕ ШТАТЫ	127
ТАЙЛАНД	2
ТУРЦИЯ	20
УКРАИНА	59
ФИНЛЯНДИЯ	22
ФРАНЦИЯ	318
ХОРВАТИЯ	124
ЧЕРНОГОРИЯ	2
ЧЕШСКАЯ РЕСПУБЛИКА	84
ШВЕЙЦАРИЯ	149
ШВЕЦИЯ	43
ЭСТОНИЯ	11
ЯПОНИЯ	11
